year,sex,rank,name,size,perc,total_size,total_perc
1981,M,1,Michael,1219,3.406264845,1219,3.406264845
1982,M,1,Michael,1183,3.32901846,1183,3.32901846
1983,M,1,Michael,1168,3.304101839,1168,3.304101839
1980,M,1,Michael,1167,3.350656063,1167,3.350656063
1984,M,1,Christopher,1136,3.208223898,1136,3.208223898
1984,M,2,Michael,1133,3.199751476,2269,6.407975374
1988,M,1,Michael,1130,3.040413281,1130,3.040413281
1987,M,1,Michael,1095,3.02971612,1095,3.02971612
1982,M,2,Christopher,1085,3.053241783,2268,6.382260243
1983,M,2,Christopher,1083,3.063649222,2251,6.367751061
1985,M,1,Christopher,1081,3.015594053,1081,3.015594053
1981,F,1,Jennifer,1078,3.170588235,1078,3.170588235
1990,M,1,Michael,1066,2.621741269,1066,2.621741269
1985,M,2,Michael,1064,2.968170279,2145,5.983764332
1983,F,1,Jennifer,1060,3.180413454,1060,3.180413454
1980,F,1,Jennifer,1059,3.210939632,1059,3.210939632
1989,M,1,Michael,1055,2.732169679,1055,2.732169679
1991,M,1,Michael,1030,2.518645311,1030,2.518645311
1986,M,1,Michael,1023,2.878527815,1023,2.878527815
1981,M,2,Christopher,1016,2.839019756,2235,6.245284601
1982,F,1,Jennifer,1010,2.974700321,1010,2.974700321
1983,M,3,Matthew,988,2.794908062,3239,9.162659123
1986,M,2,Christopher,977,2.749092546,2000,5.627620361
1988,F,1,Jessica,955,2.70155587,955,2.70155587
1981,M,3,Joshua,955,2.668566798,3190,8.913851399
1982,M,3,Matthew,940,2.645204863,3208,9.027465106
1988,M,2,Christopher,937,2.521121455,2067,5.561534736
1990,M,2,Christopher,919,2.260206591,1985,4.88194786
1980,M,2,Jason,913,2.621378736,2080,5.972034799
1987,F,1,Jessica,911,2.673278948,911,2.673278948
1992,M,1,Michael,909,2.207275023,909,2.207275023
1986,F,1,Jessica,908,2.681867856,908,2.681867856
1984,F,1,Jennifer,908,2.708992183,908,2.708992183
1984,M,3,Matthew,896,2.530430117,3165,8.93840549
1987,F,2,Ashley,894,2.623393392,1805,5.29667234
1985,M,3,Joshua,890,2.482774012,3035,8.466538344
1989,M,2,Christopher,884,2.289325115,1939,5.021494795
1980,M,3,Christopher,884,2.538114789,2964,8.510149588
1987,M,2,Christopher,880,2.434840352,1975,5.464556472
1989,F,1,Jessica,879,2.38224294,879,2.38224294
1988,F,2,Ashley,876,2.478076379,1831,5.179632249
1989,F,2,Ashley,868,2.352431026,1747,4.734673966
1985,F,1,Jessica,866,2.519712532,866,2.519712532
1985,M,4,Matthew,862,2.404664268,3897,10.87120261
1980,M,4,Joshua,857,2.460593184,3821,10.97074277
1990,F,1,Jessica,855,2.204574169,855,2.204574169
1991,F,1,Jessica,849,2.174135723,849,2.174135723
1984,M,4,Joshua,847,2.39204722,4012,11.33045271
1987,F,3,Amanda,837,2.456130055,2642,7.752802395
1983,M,4,Ryan,833,2.356435644,4072,11.51909477
1990,M,3,Joshua,830,2.041318249,2815,6.923266109
1980,M,5,Matthew,827,2.374458067,4648,13.34520084
1985,F,2,Jennifer,825,2.400418982,1691,4.920131514
1983,M,5,Joshua,824,2.330975955,4896,13.85007072
1987,M,3,Matthew,822,2.274362238,2797,7.738918709
1981,M,4,Ryan,821,2.294129153,4011,11.20798055
1991,M,2,Christopher,816,1.995353955,1846,4.513999267
1987,M,4,Andrew,815,2.25499419,3612,9.993912899
1982,M,4,Ryan,809,2.276564611,4017,11.30402972
1990,F,2,Ashley,808,2.083387051,1663,4.28796122
1986,F,2,Ashley,807,2.383554361,1715,5.065422217
1988,M,3,Joshua,805,2.165958134,2872,7.72749287
1986,M,3,Joshua,805,2.265117195,2805,7.892737556
1982,M,5,Joshua,804,2.262494372,4821,13.56652409
1984,F,2,Jessica,799,2.383793782,1707,5.092785966
1981,M,5,Matthew,799,2.232654316,4810,13.44063487
1988,F,3,Amanda,798,2.257425743,2629,7.437057992
1986,M,4,Matthew,798,2.245420524,3603,10.13815808
1993,M,1,Michael,797,1.979435724,797,1.979435724
1991,F,2,Ashley,797,2.040973111,1646,4.215108835
1989,M,3,Joshua,797,2.064018232,2736,7.085513026
1980,M,6,David,797,2.288322949,5445,15.63352379
1982,F,2,Jessica,794,2.338526787,1804,5.313227108
1991,M,3,Joshua,793,1.939112361,2639,6.453111627
1981,F,2,Jessica,793,2.332352941,1871,5.502941177
1987,M,5,Joshua,791,2.188589453,4403,12.18250235
1990,F,3,Amanda,789,2.034396514,2452,6.322357734
1996,M,1,Jacob,788,1.969507623,788,1.969507623
1995,M,1,Jacob,786,2.002139691,786,2.002139691
1989,M,4,Matthew,785,2.03294142,3521,9.118454447
1994,M,1,Jacob,782,1.976344521,782,1.976344521
1983,F,2,Jessica,782,2.34630502,1842,5.526718473
1981,M,6,David,775,2.165590857,5585,15.60622572
1981,M,7,Jason,772,2.157207925,6357,17.76343365
1992,M,2,Jacob,771,1.872177165,1680,4.079452188
1986,M,5,Andrew,768,2.161006219,4371,12.2991643
1998,M,1,Jacob,767,1.877509057,767,1.877509057
1989,M,5,Andrew,765,1.981146734,4286,11.09960118
1983,M,6,David,765,2.16407355,5661,16.01414427
1990,M,4,Matthew,764,1.878996557,3579,8.802262666
1980,M,7,Ryan,763,2.19070315,6208,17.82422694
1985,M,5,Ryan,762,2.125700896,4659,12.99690351
1993,M,2,Jacob,758,1.882575005,1555,3.862010729
1982,F,3,Sarah,755,2.223662121,2559,7.536889229
1992,M,3,Tyler,753,1.828468749,2433,5.907920936
1989,F,3,Amanda,752,2.038050843,2499,6.772724809
1985,M,6,David,751,2.095014925,5410,15.09191843
1992,M,4,Joshua,750,1.821184012,3183,7.729104949
1988,M,4,Andrew,748,2.012592154,3620,9.740085024
1982,M,6,David,747,2.102093652,5568,15.66861774
1991,M,4,Jacob,745,1.821738599,3384,8.274850226
1990,M,5,Kyle,741,1.822429907,4320,10.62469257
1982,M,7,Jason,740,2.082395317,6308,17.75101306
1992,F,1,Jessica,739,1.909708763,739,1.909708763
1993,M,3,Tyler,738,1.832902841,2293,5.69491357
1981,F,3,Sarah,734,2.158823529,2605,7.661764706
1991,F,3,Amanda,733,1.877080666,2379,6.092189501
1985,F,3,Ashley,733,2.132735896,2424,7.05286741
1997,M,1,Jacob,731,1.826084784,731,1.826084784
1999,M,1,Jacob,729,1.785758029,729,1.785758029
1988,M,5,Matthew,726,1.953398267,4346,11.69348329
1986,F,3,Amanda,726,2.144312845,2441,7.209735062
1984,M,5,Ryan,722,2.039029625,4734,13.36948233
1991,M,5,Matthew,710,1.736153564,4094,10.01100379
1984,M,6,David,710,2.005139936,5444,15.37462227
1985,F,4,Amanda,709,2.062905525,3133,9.115772935
1990,M,6,Andrew,708,1.741269061,5028,12.36596163
1991,M,6,Tyler,707,1.728817704,4801,11.73982149
1994,M,2,Michael,706,1.784270117,1488,3.760614638
1991,M,7,Andrew,706,1.726372417,5507,13.46619391
1993,F,1,Jessica,705,1.831026154,705,1.831026154
1994,M,3,Tyler,702,1.774160938,2190,5.534775576
1986,M,6,Ryan,696,1.958411886,5067,14.25757618
1990,M,7,Jacob,694,1.706837186,5722,14.07279882
1986,F,4,Jennifer,694,2.049797679,3135,9.259532741
1983,F,3,Sarah,692,2.076269915,2534,7.602988389
1994,F,1,Jessica,687,1.817604572,687,1.817604572
1980,F,2,Sarah,687,2.083017495,1746,5.293957127
1993,M,4,Joshua,682,1.693820783,2975,7.388734353
1992,M,5,Christopher,677,1.643922102,3860,9.373027051
1992,F,2,Ashley,672,1.736568726,1411,3.646277489
1996,M,2,Austin,671,1.67708073,1459,3.646588353
1984,M,7,Andrew,671,1.894998447,6115,17.26962072
1983,M,7,Jason,671,1.898161245,6332,17.91230552
1995,M,2,Michael,669,1.704111264,1455,3.706250955
1988,M,6,David,669,1.800032288,5015,13.49351558
1980,M,8,Justin,669,1.920813116,6877,19.74504005
1986,M,7,Daniel,668,1.879625201,5735,16.13720138
1989,M,6,Daniel,667,1.727352774,4953,12.82695395
1988,M,7,Ryan,663,1.7838885,5678,15.27740408
1987,M,6,Ryan,662,1.831663992,5065,14.01416634
1985,M,7,Andrew,661,1.84394789,6071,16.93586632
1990,M,8,Ryan,660,1.623216921,6382,15.69601574
1987,M,7,David,660,1.826130264,5725,15.84029661
2000,M,1,Jacob,659,1.585201578,659,1.585201578
1994,M,4,Joshua,656,1.657905378,2846,7.192680954
1995,M,3,Austin,653,1.66335524,2108,5.369606195
1990,M,9,David,652,1.603541564,7034,17.2995573
1989,M,7,Ryan,652,1.688506759,5605,14.51546071
1986,M,8,David,650,1.828976617,6385,17.966178
1997,F,1,Emily,649,1.702965101,649,1.702965101
1997,M,2,Michael,646,1.613749344,1377,3.439834129
1994,M,5,Austin,646,1.63263243,3492,8.825313385
2001,M,1,Jacob,642,1.580541126,642,1.580541126
1984,M,8,Daniel,642,1.813098365,6757,19.08271908
1995,M,4,Joshua,641,1.632788222,2749,7.002394416
1989,M,8,Nicholas,641,1.660019682,6246,16.1754804
1987,F,4,Sarah,640,1.878044486,3282,9.630846881
1991,M,8,Kyle,638,1.560092921,6145,15.02628683
1992,M,6,Andrew,637,1.546792288,4497,10.91981934
1987,M,8,Daniel,636,1.759725527,6361,17.60002213
1985,M,8,Daniel,636,1.774207047,6707,18.71007337
1983,M,8,Daniel,636,1.799151344,6968,19.71145686
1980,M,9,James,636,1.826064487,7513,21.57110454
1990,M,10,Tyler,627,1.542056075,7661,18.84161338
1993,F,2,Ashley,625,1.623250136,1330,3.45427629
1989,M,9,David,625,1.618583933,6871,17.79406433
1989,F,4,Sarah,624,1.691148572,3123,8.463873381
1982,M,8,Justin,623,1.753151734,6931,19.50416479
1984,F,3,Amanda,622,1.855719315,2329,6.948505281
1995,M,5,Tyler,620,1.57929594,3369,8.581690356
1980,F,3,Jessica,619,1.87683818,2365,7.170795306
1991,M,9,Ryan,617,1.5087419,6762,16.53502873
1990,M,11,Nicholas,616,1.515002459,8277,20.35661584
1987,M,9,Kyle,616,1.704388246,6977,19.30441038
1981,M,8,James,616,1.721295443,6973,19.48472909
1997,M,3,Austin,615,1.53630936,1992,4.976143489
1996,M,3,Michael,614,1.534616346,2073,5.181204699
1982,M,9,Daniel,613,1.725011256,7544,21.22917605
1981,M,9,Daniel,612,1.710118199,7585,21.19484729
1987,M,10,Justin,611,1.690553926,7588,20.99496431
1980,M,10,Daniel,611,1.754285222,8124,23.32538976
1989,M,10,Kyle,610,1.579737919,7481,19.37380225
1991,M,10,Nicholas,608,1.48673432,7370,18.02176305
1988,M,8,Justin,608,1.635903783,6286,16.91330786
1986,F,5,Sarah,607,1.792834569,3742,11.05236731
1983,M,9,Andrew,607,1.717114569,7575,21.42857143
1988,M,9,Kyle,606,1.630522521,6892,18.54383038
1992,M,7,Matthew,603,1.464231946,5100,12.38405128
1993,M,5,Christopher,601,1.49264852,3576,8.881382873
1985,M,9,Nicholas,599,1.670990599,7306,20.38106397
1981,M,10,Robert,597,1.668203538,8182,22.86305083
1998,M,2,Michael,596,1.4589249,1363,3.336433957
1992,M,8,Kyle,596,1.447234229,5696,13.83128551
1984,F,4,Sarah,595,1.775165583,2924,8.723670863
1992,M,9,Nicholas,591,1.435093002,6287,15.26637851
1981,M,11,Justin,591,1.651437673,8773,24.5144885
1988,F,4,Sarah,590,1.669024045,3219,9.106082037
1985,F,5,Sarah,588,1.710844075,3721,10.82661701
1988,M,10,Nicholas,587,1.579400527,7479,20.12323091
1996,M,4,Tyler,584,1.459635091,2657,6.64083979
1992,M,10,Brandon,584,1.418095284,6871,16.6844738
1983,M,10,Justin,580,1.640735502,8155,23.06930693
1980,F,4,Melissa,580,1.758588278,2945,8.929383585
1988,M,11,Daniel,579,1.557875478,8058,21.68110639
1986,M,9,Kyle,577,1.623568474,6962,19.58974648
1998,M,3,Austin,576,1.409967688,1939,4.746401645
1992,M,11,Ryan,576,1.398669322,7447,18.08314312
1982,M,10,James,575,1.618077443,8119,22.84725349
1984,M,9,Brandon,573,1.618232653,7330,20.70095174
1998,F,1,Emily,572,1.474720912,572,1.474720912
1992,M,12,David,572,1.38895634,8019,19.47209946
1981,F,4,Amanda,572,1.682352941,3177,9.344117647
1986,M,10,Nicholas,571,1.606685613,7533,21.19643209
1984,M,10,James,571,1.612584371,7901,22.31353611
1984,M,11,Jason,571,1.612584371,8472,23.92612048
1983,M,11,James,571,1.615275813,8726,24.68458274
1990,M,12,Daniel,570,1.401869159,8847,21.758485
2002,M,1,Ethan,568,1.404029168,568,1.404029168
1987,F,5,Jennifer,568,1.666764482,3850,11.29761136
1985,M,10,James,568,1.584511954,7874,21.96557592
1982,M,11,Joseph,568,1.598379109,8687,24.4456326
1990,F,4,Sarah,567,1.461980765,3019,7.784338499
1983,F,4,Amanda,567,1.701221159,3101,9.304209547
1999,F,1,Emily,566,1.460607468,566,1.460607468
1995,M,6,Nicholas,566,1.441744358,3935,10.02343471
1993,M,6,Andrew,566,1.405722233,4142,10.28710511
1993,M,7,Nicholas,566,1.405722233,4708,11.69282734
1989,M,11,Tyler,566,1.46578961,8047,20.83959186
1983,M,12,Joseph,566,1.601131542,9292,26.28571429
1996,M,5,Joshua,563,1.407148213,3220,8.047988003
1994,M,6,Andrew,562,1.420339668,4054,10.24565305
1997,M,4,Andrew,561,1.401413904,2553,6.377557393
1991,M,11,David,561,1.371805844,7931,19.3935689
1991,M,12,Daniel,560,1.369360558,8491,20.76292945
1988,M,12,James,560,1.506753484,8618,23.18785987
1990,M,13,Justin,559,1.374815544,9406,23.13330054
1986,M,11,Brandon,558,1.570106081,8091,22.76653817
1983,M,13,Nicholas,558,1.578500707,9850,27.86421499
2000,F,1,Emily,556,1.4101296,556,1.4101296
1981,M,12,Joseph,556,1.553636796,9329,26.0681253
1980,M,11,John,556,1.59637084,8680,24.9217606
1980,M,12,Robert,555,1.59349967,9235,26.51526027
1982,M,12,Robert,553,1.556168393,9240,26.00180099
2003,F,1,Emma,552,1.398814049,552,1.398814049
1993,M,8,Ryan,552,1.370951719,5260,13.06377906
1991,F,4,Samantha,550,1.408450704,2929,7.500640205
1990,M,14,James,550,1.352680767,9956,24.48598131
1983,M,14,Brandon,550,1.555869873,10400,29.42008487
1980,M,13,Joseph,550,1.579143817,9785,28.09440409
1993,M,9,Brandon,549,1.363500894,5809,14.42727995
1989,M,12,Justin,549,1.421764127,8596,22.26135598
1993,M,10,Zachary,548,1.361017286,6357,15.78829724
1985,M,11,Brandon,547,1.525929645,8421,23.49150557
1994,F,2,Emily,546,1.444559092,1233,3.262163664
1994,M,7,Christopher,546,1.379902952,4600,11.625556
1982,F,4,Amanda,546,1.608105322,3105,9.144994551
1981,F,5,Melissa,546,1.605882353,3723,10.95
1993,M,11,Kyle,545,1.353566461,6902,17.1418637
1991,F,5,Sarah,545,1.395646607,3474,8.896286812
2003,M,1,Jacob,544,1.32618235,544,1.32618235
1990,M,15,Jordan,544,1.33792425,10500,25.82390556
1989,M,13,Jacob,544,1.408815456,9140,23.67017144
1987,M,11,Nicholas,544,1.505174036,8132,22.50013834
1993,M,12,Alexander,543,1.348599245,7445,18.49046294
1992,M,13,Zachary,543,1.318537225,8562,20.79063669
1981,M,13,John,542,1.514516445,9871,27.58264174
1994,M,8,Brandon,540,1.364739183,5140,12.99029519
1994,M,9,Matthew,540,1.364739183,5680,14.35503437
1992,F,3,Sarah,540,1.395457012,1951,5.041734502
1995,M,7,Matthew,539,1.372968567,4474,11.39640328
1985,M,12,Kyle,539,1.503612576,8960,24.99511814
1993,M,13,Matthew,538,1.336181204,7983,19.82664415
1980,F,5,Amanda,537,1.628210182,3482,10.55759377
1996,F,1,Emily,536,1.415667424,536,1.415667424
1992,M,14,Alexander,535,1.299111262,9097,22.08974795
1991,M,13,Brandon,535,1.30822839,9026,22.07115784
2002,M,2,Jacob,534,1.319985169,1102,2.724014337
1992,M,15,Daniel,534,1.296683017,9631,23.38643096
1991,M,14,Zachary,533,1.303337816,9559,23.37449566
1995,F,1,Jessica,531,1.398030646,531,1.398030646
1995,M,8,Brandon,530,1.350043303,5004,12.74644658
1984,F,5,Ashley,530,1.581239931,3454,10.30491079
1981,M,14,Andrew,530,1.480984715,10401,29.06362646
1984,M,12,Justin,529,1.49397046,9001,25.42009094
1994,M,10,Nicholas,528,1.334411646,6208,15.68944602
1993,F,3,Sarah,528,1.371321715,1858,4.825598005
1982,M,13,John,528,1.4858172,9768,27.48761819
1985,M,13,Joseph,527,1.470136971,9487,26.46525511
1981,M,15,Brian,527,1.472601783,10928,30.53622824
1993,M,14,Austin,524,1.301410689,8507,21.12805484
1983,M,15,Robert,524,1.482319661,10924,30.90240453
1994,F,3,Ashley,523,1.383707702,1756,4.645871366
1993,M,15,Daniel,522,1.296443473,9029,22.42449831
1983,M,16,Brian,522,1.476661952,11446,32.37906648
1983,M,17,John,522,1.476661952,11968,33.85572843
1997,M,5,Joshua,521,1.301491344,3074,7.679048737
1995,F,2,Emily,521,1.371702385,1052,2.769733031
1999,M,2,Michael,520,1.273791735,1249,3.059549764
