year,rank,name,number,percent
1980,1,MICHAEL,1167,3.4
1980,2,JASON,913,2.6
1980,3,CHRISTOPHER,884,2.5
1980,4,JOSHUA,857,2.5
1980,5,MATTHEW,827,2.4
1980,6,DAVID,797,2.3
1980,7,RYAN,763,2.2
1980,8,JUSTIN,669,1.9
1980,9,JAMES,636,1.8
1980,10,DANIEL,611,1.8
1981,1,MICHAEL,1219,3.4
1981,2,CHRISTOPHER,1016,2.8
1981,3,JOSHUA,955,2.7
1981,4,RYAN,821,2.3
1981,5,MATTHEW,799,2.2
1981,6,DAVID,775,2.2
1981,7,JASON,772,2.2
1981,8,JAMES,616,1.7
1981,9,DANIEL,612,1.7
1981,10,ROBERT,597,1.7
1982,1,MICHAEL,1183,3.3
1982,2,CHRISTOPHER,1085,3.1
1982,3,MATTHEW,940,2.6
1982,4,RYAN,809,2.3
1982,5,JOSHUA,804,2.3
1982,6,DAVID,747,2.1
1982,7,JASON,740,2.1
1982,8,JUSTIN,623,1.8
1982,9,DANIEL,613,1.7
1982,10,JAMES,575,1.6
1983,1,MICHAEL,1168,3.3
1983,2,CHRISTOPHER,1083,3.1
1983,3,MATTHEW,988,2.8
1983,4,RYAN,833,2.4
1983,5,JOSHUA,824,2.3
1983,6,DAVID,765,2.2
1983,7,JASON,671,1.9
1983,8,DANIEL,636,1.8
1983,9,ANDREW,607,1.7
1983,10,JUSTIN,580,1.6
1984,1,CHRISTOPHER,1136,3.2
1984,2,MICHAEL,1133,3.2
1984,3,MATTHEW,896,2.5
1984,4,JOSHUA,847,2.4
1984,5,RYAN,722,2.0
1984,6,DAVID,710,2.0
1984,7,ANDREW,671,1.9
1984,8,DANIEL,642,1.8
1984,9,BRANDON,573,1.6
1984,10,JAMES,571,1.6
1985,1,CHRISTOPHER,1081,3.0
1985,2,MICHAEL,1064,3.0
1985,3,JOSHUA,890,2.5
1985,4,MATTHEW,862,2.4
1985,5,RYAN,762,2.1
1985,6,DAVID,751,2.1
1985,7,ANDREW,661,1.8
1985,8,DANIEL,636,1.8
1985,9,NICHOLAS,599,1.7
1985,10,JAMES,568,1.6
1986,1,MICHAEL,1023,2.9
1986,2,CHRISTOPHER,977,2.7
1986,3,JOSHUA,805,2.3
1986,4,MATTHEW,798,2.2
1986,5,ANDREW,768,2.2
1986,6,RYAN,696,2.0
1986,7,DANIEL,668,1.9
1986,8,DAVID,650,1.8
1986,9,KYLE,577,1.6
1986,10,NICHOLAS,571,1.6
1987,1,MICHAEL,1095,3.0
1987,2,CHRISTOPHER,880,2.4
1987,3,MATTHEW,822,2.3
1987,4,ANDREW,815,2.3
1987,5,JOSHUA,791,2.2
1987,6,RYAN,662,1.8
1987,7,DAVID,660,1.8
1987,8,DANIEL,636,1.8
1987,9,KYLE,616,1.7
1987,10,JUSTIN,611,1.7
1988,1,MICHAEL,1130,3.0
1988,2,CHRISTOPHER,937,2.5
1988,3,JOSHUA,805,2.2
1988,4,ANDREW,748,2.0
1988,5,MATTHEW,726,2.0
1988,6,DAVID,669,1.8
1988,7,RYAN,663,1.8
1988,8,JUSTIN,608,1.6
1988,9,KYLE,606,1.6
1988,10,NICHOLAS,587,1.6
1989,1,MICHAEL,1055,2.7
1989,2,CHRISTOPHER,884,2.3
1989,3,JOSHUA,797,2.1
1989,4,MATTHEW,785,2.0
1989,5,ANDREW,765,2.0
1989,6,DANIEL,667,1.7
