year,rank,name,number,percent
1980,1,JENNIFER,1059,3.2
1980,2,SARAH,687,2.1
1980,3,JESSICA,619,1.9
1980,4,MELISSA,580,1.8
1980,5,AMANDA,537,1.6
1980,6,HEATHER,453,1.4
1980,7,ANGELA,395,1.2
1980,8,AMY,374,1.1
1980,9,MICHELLE,369,1.1
1980,10,ELIZABETH,367,1.1
1981,1,JENNIFER,1078,3.2
1981,2,JESSICA,793,2.3
1981,3,SARAH,734,2.2
1981,4,AMANDA,572,1.7
1981,5,MELISSA,546,1.6
1981,6,NICOLE,430,1.3
1981,7,STEPHANIE,413,1.2
1981,8,AMY,388,1.1
1981,9,HEATHER,369,1.1
1981,10,MICHELLE,367,1.1
1982,1,JENNIFER,1010,3.0
1982,2,JESSICA,794,2.3
1982,3,SARAH,755,2.2
1982,4,AMANDA,546,1.6
1982,5,MELISSA,501,1.5
1982,6,NICOLE,442,1.3
1982,7,MICHELLE,393,1.2
1982,8,STEPHANIE,393,1.2
1982,9,AMY,383,1.1
1982,10,HEATHER,371,1.1
1983,1,JENNIFER,1060,3.2
1983,2,JESSICA,782,2.3
1983,3,SARAH,692,2.1
1983,4,AMANDA,567,1.7
1983,5,ASHLEY,464,1.4
1983,6,NICOLE,454,1.4
1983,7,STEPHANIE,443,1.3
1983,8,MELISSA,441,1.3
1983,9,HEATHER,407,1.2
1983,10,RACHEL,389,1.2
1984,1,JENNIFER,908,2.7
1984,2,JESSICA,799,2.4
1984,3,AMANDA,622,1.9
1984,4,SARAH,595,1.8
1984,5,ASHLEY,530,1.6
1984,6,STEPHANIE,457,1.4
1984,7,NICOLE,440,1.3
1984,8,MELISSA,397,1.2
1984,9,RACHEL,392,1.2
1984,10,HEATHER,391,1.2
1985,1,JESSICA,866,2.5
1985,2,JENNIFER,825,2.4
1985,3,ASHLEY,733,2.1
1985,4,AMANDA,709,2.1
1985,5,SARAH,588,1.7
1985,6,NICOLE,491,1.4
1985,7,STEPHANIE,447,1.3
1985,8,MEGAN,422,1.2
1985,9,RACHEL,385,1.1
1985,10,MELISSA,381,1.1
1986,1,JESSICA,908,2.7
1986,2,ASHLEY,807,2.4
1986,3,AMANDA,726,2.1
1986,4,JENNIFER,694,2.0
1986,5,SARAH,607,1.8
1986,6,NICOLE,426,1.3
1986,7,STEPHANIE,422,1.2
1986,8,MEGAN,397,1.2
1986,9,RACHEL,387,1.1
1986,10,HEATHER,354,1.0
